 0.2000 0.7000 0.1963   b,wpt,Erovpsi3
 0.4000 0.5800 0.1969   b,wpt,Erovpsi3
 0.6000 0.6500 0.1966   b,wpt,Erovpsi3
 0.8000 0.8800 0.1954   b,wpt,Erovpsi3
 1.0000 0.4500 0.1976   b,wpt,Erovpsi3
 1.2000 0.4200 0.1977   b,wpt,Erovpsi3
 1.4000 0.2800 0.1985   b,wpt,Erovpsi3
 1.6000 0.2900 0.1984   b,wpt,Erovpsi3
 1.8000 0.2000 0.1989   b,wpt,Erovpsi3
 2.0000 0.1400 0.1992   b,wpt,Erovpsi3
 2.2000 0.0900 0.1994   b,wpt,Erovpsi3
 2.4000 0.0500 0.1996   b,wpt,Erovpsi3
 2.6000 0.0300 0.1997   b,wpt,Erovpsi3
 2.8000 0.0400 0.1997   b,wpt,Erovpsi3
 3.0000 0.0300 0.1997   b,wpt,Erovpsi3
