 0.2000 0.9200 0.3904   b,wpt,Erovpsi3
 0.4000 0.9100 0.3905   b,wpt,Erovpsi3
 0.6000 0.8200 0.3914   b,wpt,Erovpsi3
 0.8000 0.9600 0.3900   b,wpt,Erovpsi3
 1.0000 0.6600 0.3931   b,wpt,Erovpsi3
 1.2000 0.5200 0.3945   b,wpt,Erovpsi3
 1.4000 0.5600 0.3941   b,wpt,Erovpsi3
 1.6000 0.3800 0.3959   b,wpt,Erovpsi3
 1.8000 0.3700 0.3960   b,wpt,Erovpsi3
 2.0000 0.2400 0.3973   b,wpt,Erovpsi3
 2.2000 0.1700 0.3980   b,wpt,Erovpsi3
 2.4000 0.1000 0.3987   b,wpt,Erovpsi3
 2.6000 0.0800 0.3989   b,wpt,Erovpsi3
 2.8000 0.0300 0.3994   b,wpt,Erovpsi3
 3.0000 0.0100 0.3996   b,wpt,Erovpsi3
