 0.1000 0.0484 0.0100   b,wpt,Erovpsi3
 0.2000 0.0529 0.0100   b,wpt,Erovpsi3
 0.3000 0.1024 0.0100   b,wpt,Erovpsi3
 0.4000 0.0729 0.0100   b,wpt,Erovpsi3
 0.5000 0.0676 0.0100   b,wpt,Erovpsi3
 0.6000 0.0841 0.0100   b,wpt,Erovpsi3
 0.7000 0.0676 0.0100   b,wpt,Erovpsi3
 0.8000 0.0729 0.0100   b,wpt,Erovpsi3
 0.9000 0.0784 0.0100   b,wpt,Erovpsi3
 1.0000 0.0576 0.0100   b,wpt,Erovpsi3
 1.1000 0.0625 0.0100   b,wpt,Erovpsi3
 1.2000 0.0529 0.0100   b,wpt,Erovpsi3
 1.3000 0.0400 0.0100   b,wpt,Erovpsi3
 1.4000 0.0400 0.0100   b,wpt,Erovpsi3
 1.5000 0.0361 0.0100   b,wpt,Erovpsi3
 1.6000 0.0324 0.0100   b,wpt,Erovpsi3
 1.7000 0.0169 0.0100   b,wpt,Erovpsi3
 1.8000 0.0289 0.0100   b,wpt,Erovpsi3
 1.9000 0.0100 0.0100   b,wpt,Erovpsi3
 2.0000 0.0100 0.0100   b,wpt,Erovpsi3
 2.1000 0.0081 0.0100   b,wpt,Erovpsi3
 2.2000 0.0049 0.0100   b,wpt,Erovpsi3
 2.3000 0.0100 0.0100   b,wpt,Erovpsi3
 2.4000 0.0049 0.0100   b,wpt,Erovpsi3
 2.5000 0.0016 0.0100   b,wpt,Erovpsi3
 2.6000 0.0036 0.0100   b,wpt,Erovpsi3
 2.7000 0.0016 0.0100   b,wpt,Erovpsi3
 2.8000 0.0036 0.0100   b,wpt,Erovpsi3
 2.9000 0.0009 0.0100   b,wpt,Erovpsi3
 3.0000 0.0004 0.0100   b,wpt,Erovpsi3
