 0.1000 0.9604 0.3900   b,wpt,Erovpsi3
 0.2000 0.9216 0.3904   b,wpt,Erovpsi3
 0.3000 0.8649 0.3910   b,wpt,Erovpsi3
 0.4000 0.9025 0.3906   b,wpt,Erovpsi3
 0.5000 0.7744 0.3919   b,wpt,Erovpsi3
 0.6000 0.8100 0.3915   b,wpt,Erovpsi3
 0.7000 0.8836 0.3908   b,wpt,Erovpsi3
 0.8000 0.9604 0.3900   b,wpt,Erovpsi3
 0.9000 0.9801 0.3898   b,wpt,Erovpsi3
 1.0000 0.6561 0.3931   b,wpt,Erovpsi3
 1.1000 0.5476 0.3942   b,wpt,Erovpsi3
 1.2000 0.5184 0.3945   b,wpt,Erovpsi3
 1.3000 0.5184 0.3945   b,wpt,Erovpsi3
 1.4000 0.5625 0.3941   b,wpt,Erovpsi3
 1.5000 0.3844 0.3959   b,wpt,Erovpsi3
 1.6000 0.3249 0.3965   b,wpt,Erovpsi3
 1.7000 0.3481 0.3962   b,wpt,Erovpsi3
 1.8000 0.3721 0.3960   b,wpt,Erovpsi3
 1.9000 0.2601 0.3971   b,wpt,Erovpsi3
 2.0000 0.2500 0.3972   b,wpt,Erovpsi3
 2.1000 0.1849 0.3979   b,wpt,Erovpsi3
 2.2000 0.1849 0.3979   b,wpt,Erovpsi3
 2.3000 0.1444 0.3983   b,wpt,Erovpsi3
 2.4000 0.1369 0.3983   b,wpt,Erovpsi3
 2.5000 0.1156 0.3986   b,wpt,Erovpsi3
 2.6000 0.1024 0.3987   b,wpt,Erovpsi3
 2.7000 0.1024 0.3987   b,wpt,Erovpsi3
 2.8000 0.0784 0.3989   b,wpt,Erovpsi3
 2.9000 0.0784 0.3989   b,wpt,Erovpsi3
 3.0000 0.0484 0.3992   b,wpt,Erovpsi3
